WT21-B37-76	0.0026944752010001865
WT21-B37-75	0.0015331795392106414
WT25-B39-116	0.0014684999576987726
WT23-B21-53	0.0013735232228053813
WT24-B26-10	0.001276145769493792
WT24-B40-171	0.001245204211601794
WT23-B39-340	0.001242803579189865
WT23-B37-134	0.0012054202313700993
WT08-B18-400	0.0011447774719348927
WT13-B06-284	0.0011365593512701313
WT13-B06-273	0.0010549258065635407
WT01-B18-225	9.553821353771862E-4
WT04-B27-720	9.409658682195839E-4
WT24-B26-46	8.622394883025271E-4
WT23-B19-156	8.250714398171153E-4
WT04-B30-12	8.166237992658359E-4
WT25-B15-307	7.972236590146394E-4
WT07-B18-256	7.749588453202042E-4
WT24-B40-167	7.075698516686979E-4
WT14-B03-220	6.988380516460418E-4
WT18-B31-240	6.942268338246166E-4
WT14-B03-227	6.852346018364564E-4
WT04-B40-202	6.846819201615851E-4
WT08-B19-222	6.495326671287656E-4
WT23-B20-363	6.396321311942247E-4
WT27-B28-203	6.270799051130609E-4
WT13-B39-295	6.215379409495792E-4
WT13-B15-160	6.198586609574661E-4
WT12-B30-56	6.024548466068958E-4
WT10-B02-288	5.844491971926486E-4
WT14-B36-337	5.617068002077522E-4
WT21-B40-37	5.471881765606796E-4
WT21-B35-155	5.456965488753611E-4
WT23-B01-40	5.408529581814494E-4
WT08-B08-60	5.36123099700378E-4
WT22-B38-403	5.335791863141185E-4
WT13-B39-321	5.32896662342593E-4
WT04-B22-268	5.328303376381625E-4
WT14-B02-400	5.327405498654138E-4
WT18-B14-66	5.295591305423799E-4
WT06-B14-69	5.191614542657639E-4
WT23-B38-120	5.186488172450675E-4
WT06-B35-151	5.169283974296823E-4
WT10-B33-300	5.16774037464825E-4
WT14-B36-323	5.158613450983126E-4
WT14-B36-335	5.158613450983126E-4
WT14-B36-336	5.158613450983126E-4
WT14-B36-334	5.158613450983126E-4
WT06-B35-161	5.150224360042299E-4
WT27-B20-494	5.144818655836014E-4
